scheme_code,scheme_name,fund_house,total_records,earliest_date,latest_date,latest_nav,all_time_high,all_time_low
119551,SBI Bluechip Fund – Direct Growth,SBI,3252,2013-02-01,2026-06-23,106.041,1970-01-01 00:00:00.000000161,1970-01-01 00:00:00.000000102
120503,ICICI Pru Bluechip Fund – Direct,ICICI,3323,2013-02-01,2026-06-23,107.5421,1970-01-01 00:00:00.000000113,1970-01-01 00:00:00.000000000
118632,Nippon India Large Cap Fund – Direct,Nippon,3314,2013-02-01,2026-06-23,100.4605,1970-01-01 00:00:00.000000106,1970-01-01 00:00:00.000000012
119092,Axis Bluechip Fund – Direct Growth,Axis,3581,,2026-06-23,6200.8511,1970-01-01 00:00:00.000006200,1970-01-01 00:00:00.000000023
120841,Kotak Bluechip Fund – Direct Growth,Kotak,3317,2013-07-01,2026-06-23,249.9814,1970-01-01 00:00:00.000000281,1970-01-01 00:00:00.000000030
