scheme_code,scheme_name,fund_house,total_records,earliest_date,latest_date,latest_nav,all_time_high,all_time_low
119551,SBI Bluechip Fund – Direct Growth,SBI,3252,2013-01-02,2026-06-23,106.041,161.3775,102.2299
120503,ICICI Pru Bluechip Fund – Direct,ICICI,3323,2013-01-02,2026-06-23,107.5421,113.6849,0.0
118632,Nippon India Large Cap Fund – Direct,Nippon,3314,2013-01-02,2026-06-23,100.4605,106.1272,12.2191
119092,Axis Bluechip Fund – Direct Growth,Axis,3581,2012-12-31,2026-06-23,6200.8511,6200.8511,23.992
120841,Kotak Bluechip Fund – Direct Growth,Kotak,3317,2013-01-07,2026-06-23,249.9814,281.1083,30.5643
